name,municipality,kind,weight,note
# One row per thing a name can mean. `municipality` is the city as Adresses Québec prints it on the point; `weight` is how often the name means that one, relative to the name's other rows (they need not sum to 1). A name with one row gets weight 1. Lines starting with # are comments.
#
# --- Montréal: the city, its 19 boroughs, the towns merged into it, and its quartiers
Montréal,Montréal,city,1,
Montreal,Montréal,city,1,
Mtl,Montréal,city,1,
City of Montreal,Montréal,city,1,
Ahuntsic-Cartierville,Montréal,arrondissement,1,
Ahuntsic,Montréal,quartier,1,Ahuntsic-Cartierville
Cartierville,Montréal,quartier,1,Ahuntsic-Cartierville
Sault-au-Récollet,Montréal,quartier,1,Ahuntsic-Cartierville
Bordeaux,Montréal,quartier,1,Ahuntsic-Cartierville
Nouveau-Bordeaux,Montréal,quartier,1,Ahuntsic-Cartierville
Saraguay,Montréal,quartier,1,Ahuntsic-Cartierville
Anjou,Montréal,former_municipality,1,merged 2002; now a borough
Côte-des-Neiges–Notre-Dame-de-Grâce,Montréal,arrondissement,1,
Côte-des-Neiges,Montréal,quartier,1,Côte-des-Neiges–Notre-Dame-de-Grâce
Notre-Dame-de-Grâce,Montréal,quartier,1,Côte-des-Neiges–Notre-Dame-de-Grâce
NDG,Montréal,quartier,1,Côte-des-Neiges–Notre-Dame-de-Grâce
CDN,Montréal,quartier,1,Côte-des-Neiges–Notre-Dame-de-Grâce
L'Île-Bizard–Sainte-Geneviève,Montréal,arrondissement,1,
L'Île-Bizard,Montréal,former_municipality,1,merged 2002
Sainte-Geneviève,Montréal,former_municipality,1,merged 2002
Lachine,Montréal,former_municipality,1,merged 2002; now a borough
LaSalle,Montréal,former_municipality,1,merged 2002; now a borough
Le Plateau-Mont-Royal,Montréal,arrondissement,1,
Plateau,Montréal,quartier,0.8,Le Plateau-Mont-Royal
Plateau,Québec,quartier,0.2,Sainte-Foy–Sillery–Cap-Rouge
Mile End,Montréal,quartier,1,Le Plateau-Mont-Royal
Mile-Ex,Montréal,quartier,1,Rosemont–La Petite-Patrie
Le Sud-Ouest,Montréal,arrondissement,1,
Saint-Henri,Montréal,quartier,1,Le Sud-Ouest
Pointe-Saint-Charles,Montréal,quartier,1,Le Sud-Ouest
Petite-Bourgogne,Montréal,quartier,1,Le Sud-Ouest
Little Burgundy,Montréal,quartier,1,Le Sud-Ouest
Griffintown,Montréal,quartier,1,Le Sud-Ouest
Côte-Saint-Paul,Montréal,quartier,1,Le Sud-Ouest
Ville-Émard,Montréal,quartier,1,Le Sud-Ouest
Mercier–Hochelaga-Maisonneuve,Montréal,arrondissement,1,
Hochelaga-Maisonneuve,Montréal,quartier,1,Mercier–Hochelaga-Maisonneuve
Hochelaga,Montréal,quartier,1,Mercier–Hochelaga-Maisonneuve
Maisonneuve,Montréal,former_municipality,1,annexed 1918
Mercier-Est,Montréal,quartier,1,Mercier–Hochelaga-Maisonneuve
Mercier-Ouest,Montréal,quartier,1,Mercier–Hochelaga-Maisonneuve
Mercier,Montréal,quartier,0.5,Mercier–Hochelaga-Maisonneuve
Mercier,Mercier,municipality,0.5,Montérégie
Tétreaultville,Montréal,quartier,1,Mercier–Hochelaga-Maisonneuve
Longue-Pointe,Montréal,quartier,1,Mercier–Hochelaga-Maisonneuve
Montréal-Nord,Montréal,former_municipality,1,merged 2002; now a borough
Montreal North,Montréal,former_municipality,1,merged 2002; now a borough
Outremont,Montréal,former_municipality,1,merged 2002; now a borough
Pierrefonds-Roxboro,Montréal,arrondissement,1,
Pierrefonds,Montréal,former_municipality,1,merged 2002
Roxboro,Montréal,former_municipality,1,merged 2002
Rivière-des-Prairies–Pointe-aux-Trembles,Montréal,arrondissement,1,
Rivière-des-Prairies,Montréal,quartier,1,Rivière-des-Prairies–Pointe-aux-Trembles
Pointe-aux-Trembles,Montréal,former_municipality,1,annexed 1982
Rosemont–La Petite-Patrie,Montréal,arrondissement,1,
Rosemont,Montréal,quartier,1,Rosemont–La Petite-Patrie
La Petite-Patrie,Montréal,quartier,1,Rosemont–La Petite-Patrie
Saint-Laurent,Montréal,former_municipality,0.85,merged 2002; now a borough
Saint-Laurent,Saint-Laurent-de-l'Île-d'Orléans,municipality,0.15,Île d'Orléans
Saint-Léonard,Montréal,former_municipality,1,merged 2002; now a borough
Verdun,Montréal,former_municipality,1,merged 2002; now a borough
Île-des-Sœurs,Montréal,quartier,1,Verdun
Nuns' Island,Montréal,quartier,1,Verdun
Ville-Marie,Montréal,arrondissement,1,
Vieux-Montréal,Montréal,quartier,1,Ville-Marie
Old Montreal,Montréal,quartier,1,Ville-Marie
Centre-Sud,Montréal,quartier,1,Ville-Marie
Quartier latin,Montréal,quartier,1,Ville-Marie
Downtown Montreal,Montréal,quartier,1,Ville-Marie
Villeray–Saint-Michel–Parc-Extension,Montréal,arrondissement,1,
Villeray,Montréal,quartier,1,Villeray–Saint-Michel–Parc-Extension
Saint-Michel,Montréal,quartier,0.8,Villeray–Saint-Michel–Parc-Extension
Saint-Michel,Saint-Michel,municipality,0.2,Montérégie
Parc-Extension,Montréal,quartier,1,Villeray–Saint-Michel–Parc-Extension
Parc-Ex,Montréal,quartier,1,Villeray–Saint-Michel–Parc-Extension
Vieux-Port,Montréal,quartier,0.5,Ville-Marie
Vieux-Port,Québec,quartier,0.5,La Cité-Limoilou
Mont-Royal,Mont-Royal,municipality,0.7,Town of Mount Royal; demerged 2006
Mont-Royal,Montréal,quartier,0.3,the mountain and Le Plateau-Mont-Royal
Town of Mount Royal,Mont-Royal,municipality,1,demerged 2006
TMR,Mont-Royal,municipality,1,demerged 2006
#
# --- Island of Montréal: the towns that demerged in 2006 are cities of their own again
Westmount,Westmount,municipality,1,demerged 2006
Côte-Saint-Luc,Côte-Saint-Luc,municipality,1,demerged 2006
Hampstead,Hampstead,municipality,1,demerged 2006
Montréal-Est,Montréal-Est,municipality,1,demerged 2006
Montréal-Ouest,Montréal-Ouest,municipality,1,demerged 2006
